Question,Answer,,
What was the percentage of transportation industry's greenhouse gas emissions in France in 2017?,The percentage of transportation industry's greenhouse gas emissions in France in 2017 was 29.9%.,,
How much did the average greenhouse gas emissions increase per year from 1990 to 2015 in France?,The average greenhouse gas emissions increased by 0.5 Mt CO$_2$ eq per year from 1990 to 2015 in France.,,
What was the main reason for the increase in greenhouse gas emissions in the transportation sector in France from 2009 to 2016?,The main reason for the increase in greenhouse gas emissions in the transportation sector in France from 2009 to 2016 was the significant increase in road traffic.,,
What is the annual reduction rate in greenhouse gas emissions set as a target for the transportation sector in France from 2015 to 2030?,The annual reduction rate in greenhouse gas emissions set as a target for the transportation sector in France from 2015 to 2030 is 28%.,,
How much did the transportation industry's greenhouse gas emissions increase from 1990 to 2004 in France?,The transportation industry's greenhouse gas emissions in France increased by 18.9% from 1990 to 2004.,,
What are some of the alternative fuels suggested for the transportation sector in France to achieve decarbonization by 2050?,"Some of the alternative fuels suggested for the transportation sector in France to achieve decarbonization by 2050 include electric cars, biofuels, and biogas.",,
Why was there a decrease in greenhouse gas emissions in the transportation sector in France from 2004 to 2009?,The decrease in greenhouse gas emissions in the transportation sector in France from 2004 to 2009 was due to a reduction in emissions by 7.9%.,,
What is the estimated annual reduction in CO$_2$ eq emissions from 2015 to 2050 in France?,The estimated annual reduction in CO$_2$ eq emissions from 2015 to 2050 in France is 3.8 Mt.,,
How did the greenhouse gas emissions in the transportation sector change in France from 2005 to 2015?,The greenhouse gas emissions in the transportation sector in France decreased by 0.8 Mt CO$_2$ eq on average per year from 2005 to 2015.,,
What is the share of transportation sector in France's total greenhouse gas emissions in 2017 in terms of CO$_2$ eq?,"In 2017, the transportation sector contributed 139 Mt CO$_2$ eq, which was 29.9% of France's total greenhouse gas emissions.",,
